Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20055748,E1,Cuban Fury,,R,04/11/14,,"$92,384",,"$92,384",79,"$57,105",3,,,1:38,"Comedy, Art/For",52,,Exclusive,
20055149,IFC,Dancing In Jaffa,,NR,04/11/14,,"$136,257",,"$136,257",2,"$10,564",3,,,1:26,Doc,88,,Exclusive,NYC
20051149,LIO,Draft Day,,PG13,04/11/14,,"$28,842,237","$973,507","$29,815,744",2781,"$9,783,603",3,2.90,2.10,2:00,"Drama, Sports",62,B+,Wide,
20053109,IFC,"Hateship, Loveship",,R,04/11/14,,"$51,610","$49,180","$100,790",1,"$6,015",3,,,1:42,Drama,53,,Exclusive,NYC
20053289,ROA,Joe - ROA,,R,04/11/14,,"$373,375","$1,712,874","$2,086,249",48,"$105,881",3,,,1:57,Drama,83,,Limited,
20045806,REL,Oculus,,R,04/11/14,BLP,"$27,695,246","$16,300,000","$43,995,246",2648,"$12,005,402",3,2.30,1.70,1:45,Horror,70,C,Wide,
20051428,SCL,Only Lovers Left Alive,,R,04/11/14,,"$1,879,534","$2,827,547","$4,707,081",4,"$87,989",3,,,2:03,Rom Dram,85,,Exclusive,NYC & LA
20052988,WEI,"Railway Man, The",,R,04/11/14,,"$4,464,419","$19,837,660","$24,302,079",4,"$61,845",3,,,1:47,Drama,65,,Exclusive,
20045164,FOX,Rio 2 (Ani),3D,G,04/11/14,BLU,"$131,538,435","$368,600,000","$500,138,435",3948,"$39,327,869",3,3.30,2.50,1:41,"Anim, Child/Fam, Comedy",47,A,Wide,
20050804,SON,Heaven Is For Real,,PG,04/16/14,,"$91,443,253","$9,900,000","$101,343,253",2417,"$22,522,221",3,4.10,2.90,1:40,Drama,49,A,Wide,
20048104,RAD,13 Sins,,R,04/18/14,BLP,"$13,809","$426,827","$440,636",45,"$9,261",3,,,1:32,Susp/Th,56,,Limited,
20069769,UTV,2 States,,NR,04/18/14,,"$2,238,175","$23,485,591","$25,723,766",135,"$1,073,898",3,,,2:15,Rom Com,,,Limited,
20048244,DIS,Bears,,G,04/18/14,DSN,"$17,780,194","$2,537,761","$20,317,955",1720,"$4,776,267",3,3.70,2.40,1:18,Doc,90,A,Wide,
20057148,MIL,Fading Gigolo,,R,04/18/14,,"$3,769,873","$19,511,987","$23,281,860",5,"$180,801",3,,,1:30,Comedy,55,,Exclusive,
20056528,E1,Gabrielle - E1,,R,04/18/14,,"$1,421,907",,"$1,421,907",1,,3,,,1:44,"Drama, Art/For",100,,Limited,Miami
20050624,ORF,"Haunted House 2, A",,R,04/18/14,,"$17,329,487","$6,600,000","$23,929,487",2310,"$8,843,875",3,2.00,1.60,1:27,"Comedy, Horror",9,B-,Wide,
20057128,FOC,Make Your Move,3D,PG13,04/18/14,,"$125,106",,"$125,106",142,"$81,172",3,,,1:50,"Drama, Rom Dram",43,,Limited,
20053608,MAG,Tasting Menu,,PG13,04/18/14,,"$18,686",,"$18,686",5,"$6,010",3,,,1:25,"Drama, Art/For",15,,Limited,
20069730,CHN,That Demon Within,,NR,04/18/14,,"$105,571","$20,340,448","$20,446,019",16,"$77,130",3,,,1:52,Act/Adv,,,Limited,
20045825,WB,Transcendence,IMAX,PG13,04/18/14,ALC,"$23,022,309","$81,470,265","$104,492,574",3455,"$10,886,386",3,2.10,1.60,1:59,"Sci/Fant, Susp/Th",19,C+,Wide,
20071922,IP,"Black Coal, Thin Ice",,,04/19/14,,,,,,,3,,,,"Art/For, Drama",,,Exclusive,
20055168,RAD,Blue Ruin,,R,04/25/14,,"$258,384","$419,108","$677,492",7,"$32,608",3,,,1:30,Susp/Th,95,,Exclusive,NYC & LA
20051409,REL,Brick Mansions,,PG13,04/25/14,,"$20,396,829","$52,812,898","$73,209,727",2647,"$9,516,855",3,2.10,1.70,1:29,Act/Adv,27,B+,Wide,
20052688,SCL,For No Good Reason,,R,04/25/14,,"$67,421",,"$67,421",2,"$4,516",3,,,1:29,Doc,63,,Exclusive,NYC & LA
20054108,IDP,"German Doctor, The",,PG13,04/25/14,,"$418,392",,"$418,392",5,"$34,259",3,,,1:33,"Drama, Art/For",69,,Exclusive,
20053074,A24,Locke,,R,04/25/14,,"$1,375,769","$1,153,353","$2,529,122",4,"$81,006",3,,,1:25,Susp/Th,90,,Exclusive,
20050744,FOX,"Other Woman, The - Fox",,PG13,04/25/14,,"$83,911,193","$112,800,000","$196,711,193",3205,"$24,763,752",3,3.40,2.50,1:49,Comedy,24,B+,Wide,
20051030,LIO,"Quiet Ones, The",,PG13,04/25/14,,"$8,509,867","$9,300,000","$17,809,867",2027,"$3,880,053",3,2.20,1.80,1:38,"Horror, Susp/Th",35,C+,Wide,
20056308,IFC,Young & Beautiful,,NR,04/25/14,,"$52,804",,"$52,804",1,"$4,607",3,,,1:33,"Drama, Art/For",74,,Exclusive,NYC
20061357,WB,"Goonies, The - Reissue 2014",,PG,04/29/14,,"$150,269",,"$150,269",158,,3,,,1:51,"Act/Adv, Comedy",0,,Limited,
20061354,WB,Singin' In The Rain - 2014 Re,,G,05/01/14,,"$132,415",,"$132,415",130,,3,,,1:43,"Music, Comedy",,,Limited,
20040785,SON,"Amazing Spider-Man 2, The",IMAX 3D,PG13,05/02/14,MVL,"$202,853,933","$506,128,390","$708,982,323",4324,"$91,608,337",3,2.20,1.80,2:23,"Act/Adv, Sci/Fant",53,B+,Wide,
20052288,FXS,Belle,,PG,05/02/14,,"$10,726,630","$3,735,016","$14,461,646",4,"$106,578",3,,,1:45,"Drama, Art/For",83,,Exclusive,
20056509,E1,Decoding Annie Parker,,R,05/02/14,,"$48,390","$10,487","$58,877",13,"$16,781",3,,,1:39,Drama,55,,Limited,
20064949,MBF,Ida,,PG13,05/02/14,,"$3,827,060",,"$3,827,060",,"$55,438",3,,,1:20,"Drama, Art/For, Period",,,Limited,
20055930,MAG,Protector 2,,R,05/02/14,,"$2,463",,"$2,463",1,$270,3,,,1:44,"Act/Adv, Art/For",21,,Limited,
20048584,FOC,Walk Of Shame,,R,05/02/14,,"$59,209","$8,519,841","$8,579,050",51,"$39,751",3,,,1:35,Comedy,13,,Limited,
20051628,ORF,Chef,,R,05/09/14,,"$31,424,003","$16,422,765","$47,846,768",6,"$204,961",3,,,1:55,Comedy,88,,Exclusive,
20053730,MAG,"Double, The",,R,05/09/14,,"$200,406","$5,068,496","$5,268,902",2,"$14,646",3,,,1:33,Drama,83,,Exclusive,
20056008,RAD,Fed Up,,PG,05/09/14,,"$1,538,898",,"$1,538,898",18,"$130,000",3,,,1:32,Doc,82,,Limited,
20055508,IFC,God's Pocket,,R,05/09/14,,"$166,457","$4,111","$170,568",3,"$21,482",3,,,1:27,Drama,30,,Exclusive,NYC
20055488,FRE,"Hornet's Nest, The",,R,05/09/14,,"$312,706",,"$312,706",4,"$26,550",3,,,1:35,Doc,86,,Exclusive,
20054871,CLA,Legends Of Oz: Dorothy's Return,3D,PG,05/09/14,,"$8,462,347","$12,654,570","$21,116,917",2658,"$3,747,780",3,2.30,1.80,1:30,"Anim, Child/Fam",16,A,Wide,
20055648,SON,Moms' Night Out,,PG,05/09/14,,"$10,429,707","$151,277","$10,580,984",1044,"$4,311,083",3,2.40,1.90,1:38,Comedy,17,,Wide,
